2025-12-27 22:33:05 | INFO | olist_ml.extract_olist_sqlite_data.extractor | Starting extraction data from olist sqlite...
2025-12-27 22:33:05 | INFO | olist_ml.extract_olist_sqlite_data.extractor | Extracting orders from olist sqlite...
2025-12-27 22:33:06 | INFO | olist_ml.extract_olist_sqlite_data.extractor | orders extracted to C:\Users\olver\Desktop\olist_ml\data\raw\orders.raw.parquet
2025-12-27 22:33:06 | INFO | olist_ml.extract_olist_sqlite_data.extractor | Extracting order_items from olist sqlite...
2025-12-27 22:33:06 | INFO | olist_ml.extract_olist_sqlite_data.extractor | order_items extracted to C:\Users\olver\Desktop\olist_ml\data\raw\order_items.raw.parquet
2025-12-27 22:33:06 | INFO | olist_ml.extract_olist_sqlite_data.extractor | Extracting products from olist sqlite...
2025-12-27 22:33:07 | INFO | olist_ml.extract_olist_sqlite_data.extractor | products extracted to C:\Users\olver\Desktop\olist_ml\data\raw\products.raw.parquet
2025-12-27 22:33:07 | INFO | olist_ml.extract_olist_sqlite_data.extractor | Extracting customers from olist sqlite...
2025-12-27 22:33:07 | INFO | olist_ml.extract_olist_sqlite_data.extractor | customers extracted to C:\Users\olver\Desktop\olist_ml\data\raw\customers.raw.parquet
2025-12-27 22:33:07 | INFO | olist_ml.extract_olist_sqlite_data.extractor | Extracting product_category_name_translation from olist sqlite...
2025-12-27 22:33:07 | INFO | olist_ml.extract_olist_sqlite_data.extractor | product_category_name_translation extracted to C:\Users\olver\Desktop\olist_ml\data\raw\product_category_name_translation.raw.parquet
2025-12-28 11:43:31 | INFO | olist_ml.extract_sqlite_tables.stage | Starting extraction tables from olist sqlite...
2025-12-28 11:43:31 | INFO | olist_ml.extract_sqlite_tables.stage | Extracting orders from olist sqlite...
2025-12-28 11:43:32 | INFO | olist_ml.extract_sqlite_tables.stage | orders extracted to C:\Users\olver\Desktop\olist_ml\data\raw\orders.extract.parquet
2025-12-28 11:43:32 | INFO | olist_ml.extract_sqlite_tables.stage | Extracting order_items from olist sqlite...
2025-12-28 11:43:32 | INFO | olist_ml.extract_sqlite_tables.stage | order_items extracted to C:\Users\olver\Desktop\olist_ml\data\raw\order_items.extract.parquet
2025-12-28 11:43:33 | INFO | olist_ml.extract_sqlite_tables.stage | Extracting products from olist sqlite...
2025-12-28 11:43:33 | INFO | olist_ml.extract_sqlite_tables.stage | products extracted to C:\Users\olver\Desktop\olist_ml\data\raw\products.extract.parquet
2025-12-28 11:43:33 | INFO | olist_ml.extract_sqlite_tables.stage | Extracting customers from olist sqlite...
2025-12-28 11:43:33 | INFO | olist_ml.extract_sqlite_tables.stage | customers extracted to C:\Users\olver\Desktop\olist_ml\data\raw\customers.extract.parquet
2025-12-28 11:43:33 | INFO | olist_ml.extract_sqlite_tables.stage | Extracting product_category_name_translation from olist sqlite...
2025-12-28 11:43:33 | INFO | olist_ml.extract_sqlite_tables.stage | product_category_name_translation extracted to C:\Users\olver\Desktop\olist_ml\data\raw\product_category_name_translation.extract.parquet
2025-12-28 11:43:33 | INFO | olist_ml.typing_parquet_tables.stage | Starting typing parquet tables...
2025-12-28 11:43:33 | INFO | olist_ml.typing_parquet_tables.stage | Typing orders from parquet tables...
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | orders typed to C:\Users\olver\Desktop\olist_ml\data\interim\orders.typing.parquet
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | Typing order_items from parquet tables...
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | order_items typed to C:\Users\olver\Desktop\olist_ml\data\interim\order_items.typing.parquet
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | Typing products from parquet tables...
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | products typed to C:\Users\olver\Desktop\olist_ml\data\interim\products.typing.parquet
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | Typing customers from parquet tables...
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | customers typed to C:\Users\olver\Desktop\olist_ml\data\interim\customers.typing.parquet
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | Typing product_category_name_translation from parquet tables...
2025-12-28 11:43:34 | INFO | olist_ml.typing_parquet_tables.stage | product_category_name_translation typed to C:\Users\olver\Desktop\olist_ml\data\interim\product_category_name_translation.typing.parquet
2025-12-28 11:43:59 | INFO | olist_ml.extract_sqlite_tables.stage | Starting extraction tables from olist sqlite...
2025-12-28 11:43:59 | INFO | olist_ml.extract_sqlite_tables.stage | Extracting orders from olist sqlite...
2025-12-28 11:44:00 | INFO | olist_ml.extract_sqlite_tables.stage | orders extracted to C:\Users\olver\Desktop\olist_ml\data\raw\orders.extract.parquet
2025-12-28 11:44:00 | INFO | olist_ml.extract_sqlite_tables.stage | Extracting order_items from olist sqlite...
